clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
sao-caetano,2003,23,23,50,21,2.1739,0.9130,1.2609,0.7042,0.6522,0.2174,0.1304,1.0435,1.6522,0.6087
sao-caetano,2004,23,23,48,29,2.0870,1.2609,0.8261,0.6234,0.6522,0.1304,0.2174,0.8696,1.6087,0.7391
sao-caetano,2005,21,21,27,25,1.2857,1.1905,0.0952,0.5192,0.3333,0.2857,0.3810,0.0000,1.1905,1.1905
sao-caetano,2006,19,19,24,12,1.2632,0.6316,0.6316,0.6667,0.3158,0.3158,0.3684,0.0000,1.0526,1.0526
sao-paulo,2003,23,23,44,34,1.9130,1.4783,0.4348,0.5641,0.5652,0.2174,0.2174,0.6087,1.8261,1.2174
sao-paulo,2004,23,23,56,26,2.4348,1.1304,1.3043,0.6829,0.7391,0.2174,0.0435,1.4348,2.3043,0.8696
sao-paulo,2005,21,21,36,22,1.7143,1.0476,0.6667,0.6207,0.4762,0.2857,0.2381,0.5238,1.9048,1.3810
sao-paulo,2006,19,19,46,32,2.4211,1.6842,0.7368,0.5897,0.7368,0.2105,0.0526,1.3684,2.1053,0.7368
sao-paulo,2007,19,19,42,35,2.2105,1.8421,0.3684,0.5455,0.6842,0.1579,0.1579,1.4211,1.8421,0.4211
sao-paulo,2008,19,19,46,29,2.4211,1.5263,0.8947,0.6133,0.7368,0.2105,0.0526,1.3684,2.0000,0.6316
sao-paulo,2009,19,19,42,23,2.2105,1.2105,1.0000,0.6462,0.6316,0.3158,0.0526,1.1053,1.7895,0.6842
sao-paulo,2010,19,19,33,22,1.7368,1.1579,0.5789,0.6000,0.5263,0.1579,0.3158,0.2105,1.6316,1.4211
sao-paulo,2011,19,19,33,26,1.7368,1.3684,0.3684,0.5593,0.4737,0.3158,0.2105,0.6842,1.6316,0.9474
sao-paulo,2012,19,19,47,19,2.4737,1.0000,1.4737,0.7121,0.7895,0.1053,0.1053,1.4211,1.9474,0.5263
sao-paulo,2013,19,19,27,23,1.4211,1.2105,0.2105,0.5400,0.4211,0.1579,0.4211,0.1579,1.2105,1.0526
sao-paulo,2014,19,19,39,31,2.0526,1.6316,0.4211,0.5571,0.5789,0.3158,0.1053,0.8421,1.6842,0.8421
sao-paulo,2015,19,19,42,20,2.2105,1.0526,1.1579,0.6774,0.6316,0.3158,0.0526,1.0000,1.8421,0.8421
